#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein name
chr	NC_017287.1	57	1052	+	12243289	-	G5O_RS05140	WP_006342675.1	331	porphobilinogen synthase
chr	NC_017287.1	1068	2486	-	12242514	-	G5O_RS05145	WP_006342676.1	472	Na(+)-translocating NADH-quinone reductase subunit A
chr	NC_017287.1	2509	2943	-	12242533	-	G5O_RS05150	WP_006342677.1	144	hypothetical protein
chr	NC_017287.1	3056	5209	+	12242535	-	G5O_RS05155	WP_013747310.1	717	transcript cleavage factor
chr	NC_017287.1	5360	6553	+	12242540	-	G5O_RS05165	WP_006342679.1	397	aspartate/tyrosine/aromatic aminotransferase
chr	NC_017287.1	6797	7864	+	12242576	-	G5O_RS05170	WP_006342680.1	355	rod shape-determining protein MreC
chr	NC_017287.1	7824	10961	-	12242642	recB	G5O_RS05175	WP_013462572.1	1045	exodeoxyribonuclease V subunit beta
chr	NC_017287.1	10948	14016	-	12243243	-	G5O_RS05180	WP_006342683.1	1022	exodeoxyribonuclease V subunit gamma
chr	NC_017287.1	14015	15727	+	12242276	-	G5O_RS05185	WP_006342684.1	570	MFS transporter
chr	NC_017287.1	15752	16732	-	12242277	-	G5O_RS05190	WP_006342685.1	326	rhodanese-related sulfurtransferase
chr	NC_017287.1	16953	17582	+	12242278	rpsD	G5O_RS05195	WP_006342686.1	209	30S ribosomal protein S4
chr	NC_017287.1	17649	18518	-	12242279	-	G5O_RS05200	WP_013462573.1	289	deoxyribonuclease IV
chr	NC_017287.1	18584	20227	+	12242280	-	G5O_RS05205	WP_006342688.1	547	murein biosynthesis integral membrane protein MurJ
chr	NC_017287.1	20335	21621	+	12242281	-	G5O_RS05210	WP_006342689.1	428	hypothetical protein
chr	NC_017287.1	21730	23649	+	12242283	-	G5O_RS05215	WP_006342690.1	639	hypothetical protein
chr	NC_017287.1	23839	26439	-	12242284	-	G5O_RS05220	WP_006342691.1	866	hypothetical protein
chr	NC_017287.1	26419	26625	+	23672183	-	G5O_RS05225	WP_014943302.1	68	hypothetical protein
chr	NC_017287.1	26597	29248	+	12242285	-	G5O_RS05230	WP_006342692.1	883	hypothetical protein
chr	NC_017287.1	29298	29528	+	12242286	-	G5O_RS05235	WP_013462575.1	76	hypothetical protein
chr	NC_017287.1	29525	30247	-	12242287	lptB	G5O_RS05240	WP_006342694.1	240	MULTISPECIES: LPS export ABC transporter ATP-binding protein
chr	NC_017287.1	30255	30740	-	12242288	-	G5O_RS05245	WP_006342695.1	161	DUF1137 domain-containing protein
chr	NC_017287.1	30737	31546	-	12242289	kdsA	G5O_RS05250	WP_006342696.1	269	3-deoxy-8-phosphooctulonate synthase
chr	NC_017287.1	31991	32227	-	12242291	-	G5O_RS05260	WP_006342697.1	78	MULTISPECIES: KH domain-containing protein
chr	NC_017287.1	32345	33322	-	12242292	-	G5O_RS05265	WP_006342698.1	325	RluA family pseudouridine synthase
chr	NC_017287.1	33522	33830	-	12242293	-	G5O_RS05270	WP_006342699.1	102	hypothetical protein
chr	NC_017287.1	33832	34125	-	12242294	-	G5O_RS05275	WP_006342700.1	97	hypothetical protein
chr	NC_017287.1	34238	35677	-	12242295	-	G5O_RS05280	WP_006342701.1	479	DNA topoisomerase IV subunit A
chr	NC_017287.1	35681	37489	-	12242296	-	G5O_RS05285	WP_006342702.1	602	type IIA DNA topoisomerase subunit B
chr	NC_017287.1	38066	39082	+	12242297	hemA	G5O_RS05290	WP_006342703.1	338	glutamyl-tRNA reductase
chr	NC_017287.1	39428	39832	+	12242298	-	G5O_RS05295	WP_006342704.1	134	CesT family type III secretion system chaperone
chr	NC_017287.1	39852	42281	+	12242299	-	G5O_RS05300	WP_013462576.1	809	EscD/YscD/HrpQ family type III secretion system inner membrane ring protein
chr	NC_017287.1	42328	42579	+	12242300	-	G5O_RS05305	WP_006342706.1	83	hypothetical protein
