#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein name
chr	NC_004552.2	148	1143	+	-	-	CAB_RS00005	WP_011096755.1	331	porphobilinogen synthase
chr	NC_004552.2	1159	2577	-	-	-	CAB_RS00010	WP_011096756.1	472	Na(+)-translocating NADH-quinone reductase subunit A
chr	NC_004552.2	2600	3034	-	-	-	CAB_RS00015	WP_006343682.1	144	hypothetical protein
chr	NC_004552.2	3147	5300	+	-	-	CAB_RS00020	WP_011096757.1	717	transcript cleavage factor
chr	NC_004552.2	5450	6643	+	-	-	CAB_RS00030	WP_011096758.1	397	aspartate/tyrosine/aromatic aminotransferase
chr	NC_004552.2	6841	7944	+	-	-	CAB_RS00035	WP_011096759.1	367	rod shape-determining protein MreC
chr	NC_004552.2	7904	11041	-	-	-	CAB_RS00040	WP_011096760.1	1045	exodeoxyribonuclease V subunit beta
chr	NC_004552.2	11028	14096	-	-	-	CAB_RS00045	WP_011096761.1	1022	exodeoxyribonuclease V subunit gamma
chr	NC_004552.2	14095	15807	+	-	-	CAB_RS00050	WP_011096762.1	570	MFS transporter
chr	NC_004552.2	15832	16812	-	-	-	CAB_RS00055	WP_011096763.1	326	rhodanese-related sulfurtransferase
chr	NC_004552.2	17032	17661	+	-	-	CAB_RS00060	WP_011096764.1	209	30S ribosomal protein S4
chr	NC_004552.2	17729	18598	-	-	-	CAB_RS00065	WP_011096765.1	289	deoxyribonuclease IV
chr	NC_004552.2	18664	20307	+	-	-	CAB_RS00070	WP_011096766.1	547	murein biosynthesis integral membrane protein MurJ
chr	NC_004552.2	20414	21700	+	-	-	CAB_RS00075	WP_011096767.1	428	hypothetical protein
chr	NC_004552.2	21806	23725	+	-	-	CAB_RS00080	WP_011096768.1	639	hypothetical protein
chr	NC_004552.2	23916	26516	-	-	-	CAB_RS00085	WP_011096769.1	866	hypothetical protein
chr	NC_004552.2	26660	29317	+	-	-	CAB_RS00090	WP_011096770.1	885	hypothetical protein
chr	NC_004552.2	29402	29578	+	-	-	CAB_RS00095	WP_086379999.1	58	hypothetical protein
chr	NC_004552.2	29575	30297	-	-	-	CAB_RS00100	WP_006342694.1	240	MULTISPECIES: LPS export ABC transporter ATP-binding protein
chr	NC_004552.2	30305	30790	-	-	-	CAB_RS00105	WP_011096771.1	161	DUF1137 domain-containing protein
chr	NC_004552.2	30787	31596	-	-	-	CAB_RS00110	WP_006343699.1	269	3-deoxy-8-phosphooctulonate synthase
chr	NC_004552.2	31867	32064	+	-	-	CAB_RS05085	WP_072667736.1	65	hypothetical protein
chr	NC_004552.2	32041	32277	-	-	-	CAB_RS00120	WP_006342697.1	78	MULTISPECIES: KH domain-containing protein
chr	NC_004552.2	32396	33373	-	-	-	CAB_RS00125	WP_011096772.1	325	RluA family pseudouridine synthase
chr	NC_004552.2	33572	33880	-	-	-	CAB_RS00130	WP_006343701.1	102	hypothetical protein
chr	NC_004552.2	33882	34175	-	-	-	CAB_RS00135	WP_011096773.1	97	hypothetical protein
chr	NC_004552.2	34288	35727	-	-	-	CAB_RS00140	WP_011096774.1	479	DNA topoisomerase IV subunit A
chr	NC_004552.2	35731	37539	-	-	-	CAB_RS00145	WP_011096775.1	602	type IIA DNA topoisomerase subunit B
chr	NC_004552.2	38121	39137	+	-	hemA	CAB_RS00150	WP_011096776.1	338	glutamyl-tRNA reductase
chr	NC_004552.2	39483	39887	+	-	-	CAB_RS00155	WP_041461297.1	134	CesT family type III secretion system chaperone
chr	NC_004552.2	39907	42288	+	-	-	CAB_RS00160	WP_011096779.1	793	EscD/YscD/HrpQ family type III secretion system inner membrane ring protein
chr	NC_004552.2	42335	42595	+	-	-	CAB_RS00165	WP_041461298.1	86	hypothetical protein
chr	NC_004552.2	42611	42865	+	-	-	CAB_RS00170	WP_006343709.1	84	MULTISPECIES: hypothetical protein
chr	NC_004552.2	42884	43333	+	-	-	CAB_RS00175	WP_006343710.1	149	hypothetical protein
chr	NC_004552.2	43378	44046	+	-	-	CAB_RS00180	WP_011096781.1	222	hypothetical protein
chr	NC_004552.2	44048	45376	+	-	-	CAB_RS00185	WP_006343712.1	442	EscN/YscN/HrcN family type III secretion system ATPase
chr	NC_004552.2	45397	45915	+	-	-	CAB_RS00190	WP_011096782.1	172	hypothetical protein
chr	NC_004552.2	45906	46751	+	-	-	CAB_RS00195	WP_011096783.1	281	hypothetical protein
chr	NC_004552.2	46764	47879	+	-	-	CAB_RS00200	WP_011096784.1	371	YscQ/HrcQ family type III secretion apparatus protein
chr	NC_004552.2	47897	49405	+	-	-	CAB_RS00205	WP_011096785.1	502	serine/threonine protein kinase
chr	NC_004552.2	49402	52128	+	-	-	CAB_RS00210	WP_011096786.1	908	type II secretion system protein GspD
chr	NC_004552.2	52771	53847	-	-	-	CAB_RS00220	WP_011096787.1	358	protein arginine kinase
chr	NC_004552.2	53831	54349	-	-	-	CAB_RS00225	WP_011096788.1	172	excinuclease ABC subunit B
chr	NC_004552.2	54754	55296	-	-	-	CAB_RS00240	WP_011096789.1	180	ribosome recycling factor
chr	NC_004552.2	55280	56020	-	-	-	CAB_RS00245	WP_011096790.1	246	UMP kinase
chr	NC_004552.2	56036	56884	-	-	-	CAB_RS00250	WP_011096791.1	282	elongation factor Ts
chr	NC_004552.2	56884	57714	-	-	-	CAB_RS00255	WP_011096792.1	276	30S ribosomal protein S2
chr	NC_004552.2	58095	59264	-	-	-	CAB_RS00265	WP_011096793.1	389	porin
chr	NC_004552.2	59869	63141	+	-	-	CAB_RS00270	WP_011096794.1	1090	peptidase
chr	NC_004552.2	63209	64216	+	-	-	CAB_RS00275	WP_011096795.1	335	MULTISPECIES: tetratricopeptide repeat protein
chr	NC_004552.2	64552	66006	+	-	-	CAB_RS00280	WP_011096796.1	484	Fe-S cluster assembly protein SufB
chr	NC_004552.2	66010	66777	+	-	-	CAB_RS00285	WP_011096797.1	255	Fe-S cluster assembly ATPase SufC
chr	NC_004552.2	66780	68018	+	-	-	CAB_RS00290	WP_041461299.1	412	SufD family Fe-S cluster assembly protein
chr	NC_004552.2	68050	69270	+	-	-	CAB_RS00295	WP_011096799.1	406	SufS family cysteine desulfurase
chr	NC_004552.2	69274	70062	-	-	-	CAB_RS00300	WP_011096800.1	262	polysaccharide deacetylase
chr	NC_004552.2	70256	70909	-	-	-	CAB_RS00305	WP_011096801.1	217	hypothetical protein
chr	NC_004552.2	71150	71989	+	-	-	CAB_RS00310	WP_006343732.1	279	ParB/RepB/Spo0J family partition protein
chr	NC_004552.2	72028	72996	-	-	-	CAB_RS00315	WP_011096802.1	322	ABC transporter ATP-binding protein
chr	NC_004552.2	72989	73951	-	-	-	CAB_RS00320	WP_011096803.1	320	ABC transporter ATP-binding protein
chr	NC_004552.2	74005	74679	+	-	-	CAB_RS00325	WP_006343735.1	224	TIGR00153 family protein
chr	NC_004552.2	74686	75966	+	-	-	CAB_RS00330	WP_011096804.1	426	inorganic phosphate transporter
chr	NC_004552.2	76004	77215	+	-	-	CAB_RS00335	WP_011096805.1	403	phosphoglycerate kinase
chr	NC_004552.2	77681	79186	+	-	-	CAB_RS00340	WP_011096806.1	501	hypothetical protein
chr	NC_004552.2	79200	80372	+	-	-	CAB_RS00345	WP_011096807.1	390	hypothetical protein
chr	NC_004552.2	80525	81679	+	-	-	CAB_RS00350	WP_011096808.1	384	hypothetical protein
chr	NC_004552.2	82921	83283	-	-	-	CAB_RS00365	WP_011096809.1	120	hypothetical protein
chr	NC_004552.2	83366	84667	-	-	-	CAB_RS00370	WP_011096810.1	433	D-alanyl-D-alanine carboxypeptidase
chr	NC_004552.2	85199	85624	-	-	-	CAB_RS00380	WP_006343743.1	141	anti-sigma regulatory factor
chr	NC_004552.2	85611	86210	-	-	-	CAB_RS00385	WP_011096811.1	199	hypothetical protein
chr	NC_004552.2	86227	87183	-	-	-	CAB_RS00390	WP_011096812.1	318	hypothetical protein
chr	NC_004552.2	87336	88220	+	-	-	CAB_RS00395	WP_011096813.1	294	hypothetical protein
chr	NC_004552.2	88217	91945	-	-	-	CAB_RS00400	WP_041461301.1	1242	DNA polymerase III subunit alpha
chr	NC_004552.2	91970	93337	-	-	-	CAB_RS00405	WP_011096815.1	455	MFS transporter
chr	NC_004552.2	93583	93783	+	-	-	CAB_RS00410	WP_011096816.1	66	hypothetical protein
chr	NC_004552.2	93851	95143	+	-	-	CAB_RS00415	WP_011096817.1	430	histidine--tRNA ligase
chr	NC_004552.2	95118	96872	+	-	-	CAB_RS00420	WP_011096818.1	584	aspartate--tRNA ligase
chr	NC_004552.2	96948	97715	+	-	-	CAB_RS00425	WP_006343752.1	255	FKBP-type peptidyl-prolyl cis-trans isomerase
chr	NC_004552.2	97712	98182	+	-	-	CAB_RS00430	WP_011096819.1	156	tRNA (cytidine(34)-2\'-O)-methyltransferase
chr	NC_004552.2	98179	98487	-	-	-	CAB_RS00435	WP_006343754.1	102	thioredoxin
chr	NC_004552.2	99618	100334	+	-	-	CAB_RS00445	WP_006342758.1	238	MULTISPECIES: DUF2709 domain-containing protein
chr	NC_004552.2	100313	100774	+	-	-	CAB_RS00450	WP_011096820.1	153	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE
chr	NC_004552.2	100784	101533	+	-	-	CAB_RS00455	WP_006343757.1	249	DNA polymerase III subunit epsilon
chr	NC_004552.2	101692	102162	+	-	-	CAB_RS00460	WP_006343758.1	156	acyl-CoA thioesterase
chr	NC_004552.2	102170	103795	+	-	-	CAB_RS00465	WP_011096821.1	541	apolipoprotein N-acyltransferase
chr	NC_004552.2	103825	104667	+	-	-	CAB_RS00470	WP_041461302.1	280	UDP-3-O-acyl-N-acetylglucosamine deacetylase
chr	NC_004552.2	104682	105146	+	-	-	CAB_RS00475	WP_006343761.1	154	3-hydroxyacyl-ACP dehydratase FabZ
chr	NC_004552.2	105156	105995	+	-	-	CAB_RS00480	WP_011096823.1	279	acyl
chr	NC_004552.2	105985	106950	+	-	-	CAB_RS00485	WP_011096824.1	321	methionyl-tRNA formyltransferase
chr	NC_004552.2	107060	108034	+	-	-	CAB_RS00490	WP_011096825.1	324	hypothetical protein
chr	NC_004552.2	108328	108993	+	-	-	CAB_RS00495	WP_011096826.1	221	50S ribosomal protein L3
chr	NC_004552.2	109010	109684	+	-	-	CAB_RS00500	WP_006343766.1	224	50S ribosomal protein L4
chr	NC_004552.2	109701	110036	+	-	-	CAB_RS00505	WP_006343767.1	111	50S ribosomal protein L23
chr	NC_004552.2	110058	110912	+	-	-	CAB_RS00510	WP_006342771.1	284	MULTISPECIES: 50S ribosomal protein L2
chr	NC_004552.2	110918	111184	+	-	-	CAB_RS00515	WP_006342772.1	88	MULTISPECIES: 30S ribosomal protein S19
chr	NC_004552.2	111203	111538	+	-	-	CAB_RS00520	WP_006343768.1	111	50S ribosomal protein L22
chr	NC_004552.2	111547	112218	+	-	-	CAB_RS00525	WP_011096827.1	223	30S ribosomal protein S3
chr	NC_004552.2	112245	112661	+	-	-	CAB_RS00530	WP_041461303.1	138	50S ribosomal protein L16
chr	NC_004552.2	112668	112886	+	-	-	CAB_RS00535	WP_006343771.1	72	50S ribosomal protein L29
chr	NC_004552.2	112879	113130	+	-	-	CAB_RS00540	WP_011096829.1	83	30S ribosomal protein S17
chr	NC_004552.2	113165	113533	+	-	-	CAB_RS00545	WP_006343773.1	122	50S ribosomal protein L14
chr	NC_004552.2	113548	113889	+	-	-	CAB_RS00550	WP_011096830.1	113	50S ribosomal protein L24
chr	NC_004552.2	113891	114433	+	-	-	CAB_RS00555	WP_011096831.1	180	50S ribosomal protein L5
chr	NC_004552.2	114452	114853	+	-	-	CAB_RS00560	WP_006343776.1	133	30S ribosomal protein S8
chr	NC_004552.2	114885	115436	+	-	-	CAB_RS00565	WP_011096832.1	183	50S ribosomal protein L6
chr	NC_004552.2	115459	115830	+	-	-	CAB_RS00570	WP_006343778.1	123	50S ribosomal protein L18
chr	NC_004552.2	115846	116343	+	-	-	CAB_RS00575	WP_006342784.1	165	MULTISPECIES: 30S ribosomal protein S5
chr	NC_004552.2	116336	116770	+	-	-	CAB_RS00580	WP_011096833.1	144	50S ribosomal protein L15
chr	NC_004552.2	116795	118168	+	-	-	CAB_RS00585	WP_011096834.1	457	preprotein translocase subunit SecY
chr	NC_004552.2	118224	118592	+	-	-	CAB_RS00590	WP_006342787.1	122	MULTISPECIES: 30S ribosomal protein S13
chr	NC_004552.2	118613	119011	+	-	-	CAB_RS00595	WP_011096835.1	132	30S ribosomal protein S11
chr	NC_004552.2	119032	120162	+	-	-	CAB_RS00600	WP_006343782.1	376	DNA-directed RNA polymerase subunit alpha
chr	NC_004552.2	120171	120599	+	-	-	CAB_RS00605	WP_006342790.1	142	MULTISPECIES: 50S ribosomal protein L17
chr	NC_004552.2	120638	121645	+	-	-	CAB_RS00610	WP_011096836.1	335	type I glyceraldehyde-3-phosphate dehydrogenase
chr	NC_004552.2	121658	122479	+	-	-	CAB_RS00615	WP_011096837.1	273	hypothetical protein
chr	NC_004552.2	122987	123889	+	-	-	CAB_RS00625	WP_011096838.1	300	hypothetical protein
chr	NC_004552.2	123997	124503	+	-	-	CAB_RS00630	WP_011096839.1	168	crossover junction endodeoxyribonuclease RuvC
chr	NC_004552.2	124503	125126	+	-	-	CAB_RS00635	WP_011096840.1	207	Holliday junction branch migration protein RuvA
chr	NC_004552.2	125197	125622	+	-	-	CAB_RS00640	WP_006343788.1	141	nucleoside-diphosphate kinase
chr	NC_004552.2	125635	126336	-	-	-	CAB_RS00645	WP_011096841.1	233	lipoate--protein ligase family protein
chr	NC_004552.2	126323	128158	-	-	-	CAB_RS00650	WP_011096842.1	611	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG
chr	NC_004552.2	128169	128258	-	-	-	CAB_RS05090	WP_072667724.1	29	MULTISPECIES: AURKAIP1/COX24 domain-containing protein
chr	NC_004552.2	128332	128514	+	-	-	CAB_RS05095	WP_080126200.1	60	hypothetical protein
chr	NC_004552.2	128620	130038	-	-	-	CAB_RS00655	WP_041461304.1	472	replicative DNA helicase
chr	NC_004552.2	130703	131209	+	-	-	CAB_RS00665	WP_011096844.1	168	CDP-alcohol phosphatidyltransferase family protein
chr	NC_004552.2	131446	133095	+	-	-	CAB_RS00670	WP_011096845.1	549	NTP/H+ exchange transporter Npt2
chr	NC_004552.2	133204	134205	+	-	-	CAB_RS00675	WP_041461305.1	333	S49 family peptidase
