#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein name
Chlamydia_sp_10DC88	NZ_CP006571.1	2137	2361	+	-	-	RT28_RS04745	WP_081750410.1	74	hypothetical protein
Chlamydia_sp_10DC88	NZ_CP006571.1	2682	4016	+	-	-	RT28_RS00010	WP_038499930.1	444	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
Chlamydia_sp_10DC88	NZ_CP006571.1	4011	5702	-	-	-	RT28_RS00015	WP_038499933.1	563	arginine--tRNA ligase
Chlamydia_sp_10DC88	NZ_CP006571.1	5712	6359	-	-	-	RT28_RS00020	WP_020355878.1	215	MULTISPECIES: 1-acyl-sn-glycerol-3-phosphate acyltransferase
Chlamydia_sp_10DC88	NZ_CP006571.1	6356	7006	-	-	-	RT28_RS00025	WP_020355879.1	216	MULTISPECIES: (d)CMP kinase
Chlamydia_sp_10DC88	NZ_CP006571.1	7006	7920	-	-	-	RT28_RS00030	WP_020355880.1	304	MULTISPECIES: cytidylyltransferase
Chlamydia_sp_10DC88	NZ_CP006571.1	9158	10192	+	-	-	RT28_RS00040	WP_038501236.1	344	hypothetical protein
Chlamydia_sp_10DC88	NZ_CP006571.1	10370	14581	+	-	-	RT28_RS00045	WP_038499941.1	1403	protein translocase subunit SecD
Chlamydia_sp_10DC88	NZ_CP006571.1	14947	15096	+	-	-	RT28_RS04750	WP_081750426.1	49	hypothetical protein
Chlamydia_sp_10DC88	NZ_CP006571.1	15127	15231	+	-	-	RT28_RS04755	WP_080650641.1	34	MULTISPECIES: hypothetical protein
Chlamydia_sp_10DC88	NZ_CP006571.1	15235	15600	+	-	-	RT28_RS00050	WP_020355884.1	121	MULTISPECIES: hypothetical protein, partial
Chlamydia_sp_10DC88	NZ_CP006571.1	16389	16943	+	-	-	RT28_RS00055	WP_038499944.1	184	DNA-binding protein
Chlamydia_sp_10DC88	NZ_CP006571.1	17187	18734	+	-	-	RT28_RS00060	WP_038499947.1	515	glutamate--tRNA ligase
Chlamydia_sp_10DC88	NZ_CP006571.1	18664	18921	-	-	-	RT28_RS04760	WP_080650642.1	85	MULTISPECIES: hypothetical protein
Chlamydia_sp_10DC88	NZ_CP006571.1	19306	19572	+	-	-	RT28_RS04765	WP_057176630.1	88	MULTISPECIES: hypothetical protein
Chlamydia_sp_10DC88	NZ_CP006571.1	21572	22030	+	-	-	RT28_RS00070	WP_038499950.1	152	sulfur-rich protein
Chlamydia_sp_10DC88	NZ_CP006571.1	22051	24003	-	-	-	RT28_RS00075	WP_020355889.1	650	MULTISPECIES: carboxy terminal-processing peptidase
Chlamydia_sp_10DC88	NZ_CP006571.1	24546	25469	+	-	-	RT28_RS00080	WP_038501239.1	307	hypothetical protein
Chlamydia_sp_10DC88	NZ_CP006571.1	26027	26500	+	-	-	RT28_RS00090	WP_020355893.1	157	MULTISPECIES: 30S ribosomal protein S7
Chlamydia_sp_10DC88	NZ_CP006571.1	26545	28629	+	-	-	RT28_RS00095	WP_020359204.1	694	MULTISPECIES: elongation factor G
Chlamydia_sp_10DC88	NZ_CP006571.1	28636	28953	+	-	-	RT28_RS00100	WP_020355895.1	105	MULTISPECIES: 30S ribosomal protein S10
Chlamydia_sp_10DC88	NZ_CP006571.1	28976	30031	+	-	-	RT28_RS00105	WP_038499965.1	351	sulfite reductase flavoprotein subunit alpha
Chlamydia_sp_10DC88	NZ_CP006571.1	30025	30555	-	-	-	RT28_RS00110	WP_035392731.1	176	MULTISPECIES: 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
Chlamydia_sp_10DC88	NZ_CP006571.1	30834	31250	+	-	-	RT28_RS00115	WP_038499968.1	138	hypothetical protein
Chlamydia_sp_10DC88	NZ_CP006571.1	31549	31869	+	-	-	RT28_RS00125	WP_038499971.1	106	50S ribosomal protein L21
Chlamydia_sp_10DC88	NZ_CP006571.1	31906	32154	+	-	-	RT28_RS00130	WP_020355900.1	82	MULTISPECIES: 50S ribosomal protein L27
Chlamydia_sp_10DC88	NZ_CP006571.1	32254	33258	+	-	-	RT28_RS00135	WP_038501241.1	334	GTPase ObgE
Chlamydia_sp_10DC88	NZ_CP006571.1	33156	34037	-	-	-	RT28_RS04780	WP_081750411.1	293	metal ABC transporter permease
Chlamydia_sp_10DC88	NZ_CP006571.1	34034	34753	-	-	-	RT28_RS00140	WP_020355902.1	239	MULTISPECIES: metal ABC transporter ATP-binding protein
Chlamydia_sp_10DC88	NZ_CP006571.1	34750	35586	-	-	-	RT28_RS00145	WP_020355903.1	278	MULTISPECIES: periplasmic solute-binding family protein
Chlamydia_sp_10DC88	NZ_CP006571.1	36245	41584	-	-	-	RT28_RS00155	WP_038499974.1	1779	autotransporter domain-containing protein
Chlamydia_sp_10DC88	NZ_CP006571.1	41767	44562	-	-	-	RT28_RS00160	WP_081750412.1	931	autotransporter domain-containing protein
Chlamydia_sp_10DC88	NZ_CP006571.1	44794	45099	-	-	-	RT28_RS00165	WP_020355906.1	101	MULTISPECIES: YtxH domain-containing protein
Chlamydia_sp_10DC88	NZ_CP006571.1	45125	45481	-	-	-	RT28_RS00170	WP_020355907.1	118	MULTISPECIES: hypothetical protein
Chlamydia_sp_10DC88	NZ_CP006571.1	45665	47008	-	-	-	RT28_RS00175	WP_020355909.1	447	MULTISPECIES: sodium:alanine symporter family protein
Chlamydia_sp_10DC88	NZ_CP006571.1	47038	47553	-	-	-	RT28_RS00180	WP_038499982.1	171	lipoprotein signal peptidase
Chlamydia_sp_10DC88	NZ_CP006571.1	47557	47931	-	-	-	RT28_RS00185	WP_020355911.1	124	MULTISPECIES: RNA polymerase-binding transcription factor
Chlamydia_sp_10DC88	NZ_CP006571.1	47961	48419	-	-	-	RT28_RS00190	WP_020355912.1	152	MULTISPECIES: transcriptional regulator NrdR
Chlamydia_sp_10DC88	NZ_CP006571.1	48639	49241	+	-	-	RT28_RS00195	WP_038499985.1	200	riboflavin synthase
Chlamydia_sp_10DC88	NZ_CP006571.1	49251	50078	+	-	-	RT28_RS00200	WP_020355914.1	275	MULTISPECIES: 95 family protein
Chlamydia_sp_10DC88	NZ_CP006571.1	50066	50869	+	-	-	RT28_RS00205	WP_020355915.1	267	MULTISPECIES: RNA methyltransferase
Chlamydia_sp_10DC88	NZ_CP006571.1	51122	52225	+	-	-	RT28_RS00210	WP_038499988.1	367	tetraacyldisaccharide 4\'-kinase
Chlamydia_sp_10DC88	NZ_CP006571.1	52236	53483	+	-	-	RT28_RS00215	WP_038499991.1	415	dicarboxylate/amino acid:cation symporter
Chlamydia_sp_10DC88	NZ_CP006571.1	53496	54656	+	-	-	RT28_RS00220	WP_038499994.1	386	2-oxo acid dehydrogenase subunit E2
Chlamydia_sp_10DC88	NZ_CP006571.1	54686	55675	+	-	-	RT28_RS00225	WP_038499996.1	329	KpsF/GutQ family sugar-phosphate isomerase
Chlamydia_sp_10DC88	NZ_CP006571.1	57228	58328	-	-	-	RT28_RS00240	WP_038499999.1	366	hypothetical protein
Chlamydia_sp_10DC88	NZ_CP006571.1	58777	59487	-	-	-	RT28_RS00245	WP_038500002.1	236	uroporphyrinogen-III synthase
Chlamydia_sp_10DC88	NZ_CP006571.1	59728	61218	+	-	-	RT28_RS00250	WP_020355925.1	496	MULTISPECIES: glycine hydroxymethyltransferase
Chlamydia_sp_10DC88	NZ_CP006571.1	61238	61816	+	-	-	RT28_RS00255	WP_020355926.1	192	MULTISPECIES: ATP-dependent Clp protease proteolytic subunit
Chlamydia_sp_10DC88	NZ_CP006571.1	61785	62576	+	-	-	RT28_RS00260	WP_038500005.1	263	diaminopimelate epimerase
Chlamydia_sp_10DC88	NZ_CP006571.1	62726	63706	+	-	-	RT28_RS00265	WP_020355928.1	326	MULTISPECIES: UPF0158 family protein
Chlamydia_sp_10DC88	NZ_CP006571.1	63717	64397	-	-	-	RT28_RS00270	WP_038501243.1	226	bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase UbiE
Chlamydia_sp_10DC88	NZ_CP006571.1	64384	65169	-	-	-	RT28_RS00275	WP_038500009.1	261	menaquinone biosynthesis family protein
Chlamydia_sp_10DC88	NZ_CP006571.1	66219	66425	-	-	-	RT28_RS00285	WP_038500012.1	68	hypothetical protein
Chlamydia_sp_10DC88	NZ_CP006571.1	66439	68301	-	-	-	RT28_RS00290	WP_038501245.1	620	hypothetical protein
Chlamydia_sp_10DC88	NZ_CP006571.1	68361	68711	-	-	-	RT28_RS00295	WP_038500015.1	116	STAS domain-containing protein
Chlamydia_sp_10DC88	NZ_CP006571.1	68829	69965	-	-	-	RT28_RS00300	WP_038500019.1	378	HlyC/CorC family transporter
Chlamydia_sp_10DC88	NZ_CP006571.1	69967	70443	-	-	-	RT28_RS00305	WP_020355936.1	158	MULTISPECIES: rRNA maturation RNase YbeY
Chlamydia_sp_10DC88	NZ_CP006571.1	70457	70618	-	-	-	RT28_RS04785	WP_020355937.1	53	MULTISPECIES: small basic protein
Chlamydia_sp_10DC88	NZ_CP006571.1	70921	71580	-	-	-	RT28_RS00310	WP_038500021.1	219	DUF502 domain-containing protein
Chlamydia_sp_10DC88	NZ_CP006571.1	71795	72370	-	-	-	RT28_RS00315	WP_038500024.1	191	DNA-3-methyladenine glycosylase
Chlamydia_sp_10DC88	NZ_CP006571.1	74557	76533	-	-	-	RT28_RS00325	WP_020355943.1	658	MULTISPECIES: molecular chaperone DnaK
Chlamydia_sp_10DC88	NZ_CP006571.1	76570	77136	-	-	-	RT28_RS00330	WP_020355945.1	188	MULTISPECIES: nucleotide exchange factor GrpE
Chlamydia_sp_10DC88	NZ_CP006571.1	77133	78296	-	-	-	RT28_RS00335	WP_038500029.1	387	heat-inducible transcriptional repressor HrcA
Chlamydia_sp_10DC88	NZ_CP006571.1	78446	80164	-	-	-	RT28_RS00340	WP_038500032.1	572	proline--tRNA ligase
Chlamydia_sp_10DC88	NZ_CP006571.1	80422	81591	+	-	-	RT28_RS00350	WP_038500035.1	389	hypothetical protein
Chlamydia_sp_10DC88	NZ_CP006571.1	81681	82613	+	-	-	RT28_RS00355	WP_038501247.1	310	hypothetical protein
Chlamydia_sp_10DC88	NZ_CP006571.1	82618	82905	+	-	-	RT28_RS00360	WP_038500038.1	95	hypothetical protein
Chlamydia_sp_10DC88	NZ_CP006571.1	82892	83929	-	-	-	RT28_RS00365	WP_038500041.1	345	ABC transporter substrate-binding protein
Chlamydia_sp_10DC88	NZ_CP006571.1	83926	85122	-	-	-	RT28_RS00370	WP_038500044.1	398	LL-diaminopimelate aminotransferase
Chlamydia_sp_10DC88	NZ_CP006571.1	85623	86855	+	-	-	RT28_RS00375	WP_038500047.1	410	DUF1207 domain-containing protein
Chlamydia_sp_10DC88	NZ_CP006571.1	88919	89104	-	-	-	RT28_RS04790	WP_081750413.1	61	hypothetical protein
Chlamydia_sp_10DC88	NZ_CP006571.1	89077	89946	+	-	-	RT28_RS00385	WP_038501249.1	289	hypothetical protein
Chlamydia_sp_10DC88	NZ_CP006571.1	89943	90275	+	-	-	RT28_RS00390	WP_020355958.1	110	MULTISPECIES: histidine triad nucleotide-binding protein
Chlamydia_sp_10DC88	NZ_CP006571.1	90320	91933	+	-	-	RT28_RS00395	WP_038500050.1	537	HEAT repeat domain-containing protein
Chlamydia_sp_10DC88	NZ_CP006571.1	91922	92161	-	-	-	RT28_RS00400	WP_038500053.1	79	hypothetical protein
Chlamydia_sp_10DC88	NZ_CP006571.1	92485	93813	+	-	-	RT28_RS00405	WP_038500056.1	442	sodium:solute symporter family protein
Chlamydia_sp_10DC88	NZ_CP006571.1	93882	94076	-	-	-	RT28_RS04795	WP_020359211.1	64	MULTISPECIES: hypothetical protein
Chlamydia_sp_10DC88	NZ_CP006571.1	94204	95040	-	-	-	RT28_RS00410	WP_035392698.1	278	MULTISPECIES: 3-deoxy-7-phosphoheptulonate synthase
Chlamydia_sp_10DC88	NZ_CP006571.1	95067	98114	-	-	-	RT28_RS00415	WP_081750414.1	1015	peptidase C65 Otubain family protein
Chlamydia_sp_10DC88	NZ_CP006571.1	98232	98987	+	-	-	RT28_RS00420	WP_038501253.1	251	ABC transporter substrate-binding protein
Chlamydia_sp_10DC88	NZ_CP006571.1	99172	99828	+	-	-	RT28_RS00425	WP_038500059.1	218	hypothetical protein
Chlamydia_sp_10DC88	NZ_CP006571.1	99882	100730	+	-	-	RT28_RS00430	WP_038500062.1	282	MBL fold metallo-hydrolase
Chlamydia_sp_10DC88	NZ_CP006571.1	100711	102063	+	-	-	RT28_RS00435	WP_038500065.1	450	GTPase HflX
Chlamydia_sp_10DC88	NZ_CP006571.1	102207	103472	+	-	-	RT28_RS00440	WP_038500067.1	421	tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase MtaB
Chlamydia_sp_10DC88	NZ_CP006571.1	103469	104470	+	-	-	RT28_RS00445	WP_038500070.1	333	hypothetical protein
Chlamydia_sp_10DC88	NZ_CP006571.1	104483	106657	+	-	-	RT28_RS00450	WP_038500073.1	724	1,4-alpha-glucan branching protein GlgB
Chlamydia_sp_10DC88	NZ_CP006571.1	106757	108517	+	-	-	RT28_RS00455	WP_038500076.1	586	hypothetical protein
Chlamydia_sp_10DC88	NZ_CP006571.1	108663	110684	+	-	-	RT28_RS00460	WP_038500079.1	673	hypothetical protein
Chlamydia_sp_10DC88	NZ_CP006571.1	110848	113685	-	-	-	RT28_RS00465	WP_051485696.1	945	autotransporter domain-containing protein
Chlamydia_sp_10DC88	NZ_CP006571.1	113879	115861	-	-	-	RT28_RS00470	WP_081750415.1	660	autotransporter domain-containing protein
Chlamydia_sp_10DC88	NZ_CP006571.1	116914	119778	-	-	-	RT28_RS00475	WP_038501255.1	954	autotransporter domain-containing protein
Chlamydia_sp_10DC88	NZ_CP006571.1	120116	124123	-	-	-	RT28_RS00480	WP_038500088.1	1335	autotransporter domain-containing protein
Chlamydia_sp_10DC88	NZ_CP006571.1	124343	124618	-	-	-	RT28_RS00485	WP_038500091.1	91	DUF378 domain-containing protein
Chlamydia_sp_10DC88	NZ_CP006571.1	124814	125116	+	-	-	RT28_RS00490	WP_020359219.1	100	MULTISPECIES: Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC
Chlamydia_sp_10DC88	NZ_CP006571.1	125133	126611	+	-	-	RT28_RS00495	WP_020355985.1	492	MULTISPECIES: Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA
Chlamydia_sp_10DC88	NZ_CP006571.1	126608	128074	+	-	-	RT28_RS00500	WP_038500094.1	488	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB
Chlamydia_sp_10DC88	NZ_CP006571.1	128198	129301	-	-	-	RT28_RS00505	WP_038500097.1	367	hypothetical protein
Chlamydia_sp_10DC88	NZ_CP006571.1	129523	129975	-	-	-	RT28_RS00510	WP_038500100.1	150	hypothetical protein
Chlamydia_sp_10DC88	NZ_CP006571.1	130083	131033	-	-	-	RT28_RS00515	WP_035392700.1	316	MULTISPECIES: hypothetical protein
Chlamydia_sp_10DC88	NZ_CP006571.1	131161	132051	-	-	-	RT28_RS00520	WP_038500103.1	296	ribonuclease HIII
