#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein name
chr	NC_007899.1	216	1808	+	-	-	CF_RS00005	WP_011457558.1	530	hypothetical protein
chr	NC_007899.1	1890	2144	+	-	-	CF_RS00010	WP_011457559.1	84	hypothetical protein
chr	NC_007899.1	2253	3125	-	-	-	CF_RS00020	WP_011457560.1	290	polyprenyl synthetase family protein
chr	NC_007899.1	3151	3765	-	-	-	CF_RS00025	WP_011457561.1	204	UDP-GlcNAc pyrophosphorylase
chr	NC_007899.1	3839	4537	-	-	-	CF_RS00030	WP_011457562.1	232	DNA-binding response regulator
chr	NC_007899.1	4737	6581	+	-	-	CF_RS00035	WP_011457563.1	614	DUF1347 domain-containing protein
chr	NC_007899.1	6616	8103	+	-	-	CF_RS00040	WP_011457564.1	495	exodeoxyribonuclease V subunit alpha
chr	NC_007899.1	8127	8969	-	-	-	CF_RS00045	WP_011457565.1	280	hypothetical protein
chr	NC_007899.1	9001	9297	-	-	-	CF_RS00050	WP_011457566.1	98	30S ribosomal protein S20
chr	NC_007899.1	9589	10794	+	-	-	CF_RS00055	WP_011457568.1	401	hypothetical protein
chr	NC_007899.1	10905	12623	+	-	-	CF_RS00060	WP_041467914.1	572	RNA polymerase sigma factor
chr	NC_007899.1	12677	13033	+	-	-	CF_RS00065	WP_083755024.1	118	dihydroneopterin aldolase
chr	NC_007899.1	13030	14373	+	-	-	CF_RS00070	WP_011457571.1	447	dihydropteroate synthase
chr	NC_007899.1	14366	14854	+	-	-	CF_RS00075	WP_011457572.1	162	dihydrofolate reductase
chr	NC_007899.1	14826	15560	+	-	-	CF_RS00080	WP_011457573.1	244	putative folate metabolism gamma-glutamate ligase
chr	NC_007899.1	15577	16281	+	-	-	CF_RS00085	WP_011457574.1	234	CADD family putative folate metabolism protein
chr	NC_007899.1	16339	17391	-	-	-	CF_RS00090	WP_011457575.1	350	recombinase RecA
chr	NC_007899.1	17805	18347	-	-	-	CF_RS00095	WP_011457576.1	180	5-formyltetrahydrofolate cyclo-ligase
chr	NC_007899.1	18350	19627	-	-	-	CF_RS00100	WP_011457577.1	425	hypothetical protein
chr	NC_007899.1	19618	20202	-	-	-	CF_RS00105	WP_011457578.1	194	hypothetical protein
chr	NC_007899.1	20199	21596	-	-	-	CF_RS00110	WP_011457579.1	465	hypothetical protein
chr	NC_007899.1	21694	21990	+	-	-	CF_RS00115	WP_011457580.1	98	YggT family protein
chr	NC_007899.1	21969	22988	+	-	-	CF_RS00120	WP_011457581.1	339	tRNA dihydrouridine synthase DusB
chr	NC_007899.1	22964	25552	-	-	-	CF_RS00125	WP_011457582.1	862	type I DNA topoisomerase
chr	NC_007899.1	26191	26988	+	-	-	CF_RS00130	WP_011457583.1	265	hypothetical protein
chr	NC_007899.1	27009	28277	-	-	-	CF_RS00135	WP_011457584.1	422	RNA polymerase factor sigma-54
chr	NC_007899.1	28280	30190	-	-	-	CF_RS00140	WP_011457585.1	636	ATP-dependent DNA helicase
chr	NC_007899.1	30303	30992	+	-	-	CF_RS00145	WP_011457586.1	229	uracil-DNA glycosylase
chr	NC_007899.1	30989	31222	+	-	-	CF_RS00150	WP_011457587.1	77	hypothetical protein
chr	NC_007899.1	31205	31825	-	-	-	CF_RS00155	WP_011457588.1	206	RdgB/HAM1 family non-canonical purine NTP pyrophosphatase
chr	NC_007899.1	32062	33303	+	-	-	CF_RS00160	WP_011457589.1	413	DUF1343 domain-containing protein
chr	NC_007899.1	33407	35041	+	-	-	CF_RS00165	WP_011457590.1	544	molecular chaperone GroEL
chr	NC_007899.1	35275	35865	+	-	-	CF_RS00175	WP_041467919.1	196	peroxiredoxin
chr	NC_007899.1	35862	36260	-	-	-	CF_RS00180	WP_011457592.1	132	hypothetical protein
chr	NC_007899.1	36360	36974	-	-	-	CF_RS00185	WP_011457593.1	204	LysM peptidoglycan-binding domain-containing protein
chr	NC_007899.1	36964	37539	-	-	-	CF_RS00190	WP_011457594.1	191	OmpA family protein
